C,SF,FA,SIP,SFl,SS,S,QP,QS,GP,W,SP,SL,Age,L,D,HFV,SFV,TFV,TS
556,101,0,0,0,0,0,0,1213,0,182,11,354,28,13,0.2,1.3,0,0,9.46
556,101,0,0,0,0,0,0,1213,0,182,11,354,28,13,0.2,1.8,0,0,10.42
1008.5,126,0,0,0,0,0,0,1008.5,0,201.7,11,0,28,0,0,0,0,0,3.05
1008.5,126,0,0,0,0,0,0,1008.5,0,201.7,11,0,28,30,0.7,0.6,0,0,2.42
1008.5,126,0,0,0,0,0,0,1008.5,0,201.7,11,0,28,30,0.7,1.25,0,0,2.92
1008.5,126,0,0,0,0,0,0,1008.5,0,201.7,11,0,28,30,0.7,1.9,0,0,3.18
1008.5,126,0,0,0,0,0,0,1008.5,0,201.7,11,0,28,30,0.7,2.55,0,0,4.38
768.67,192.16,0,0,0,0,1030,0,0,192.16,169.1,3.84,0,28,25,0.3,0,0,1,2.08
768.67,192.16,0,0,0,0,1030,0,0,192.16,169.1,3.84,0,28,25,0.3,0,0,1,2.23
768.67,192.16,0,0,0,0,1030,0,0,192.16,169.1,3.84,0,28,25,0.3,0,0,1,2.36
768.67,192.16,0,0,0,0,1030,0,0,192.16,169.1,3.84,0,28,25,0.3,0,0,1,2.70
768.67,192.16,0,0,0,0,1006.9,0,0,192.16,169.1,3.84,0,28,25,0.3,0,0,2,2.90
768.67,192.16,0,0,0,0,1006.9,0,0,192.16,169.1,3.84,0,28,25,0.3,0,0,2,3.15
768.67,192.16,0,0,0,0,1006.9,0,0,192.16,169.1,3.84,0,28,25,0.3,0,0,2,3.45
768.67,192.16,0,0,0,0,1006.9,0,0,192.16,169.1,3.84,0,28,25,0.3,0,0,2,3.50
768.67,192.16,0,0,0,0,983.9,0,0,192.16,169.1,3.84,0,28,25,0.3,0,0,3,5.23
768.67,192.16,0,0,0,0,983.9,0,0,192.16,169.1,3.84,0,28,25,0.3,0,0,3,5.43
768.67,192.16,0,0,0,0,983.9,0,0,192.16,169.1,3.84,0,28,25,0.3,0,0,3,5.88
